Student_ID,Gender,Study_Hours,Attendance,Previous_Scores,Sleep_Hours,Internet_Usage,Final_Score
S001,Male,1.2,63.8,53.4,8.4,5.7,39.0
S002,Male,6.3,51.6,45.6,5.4,5.2,44.5
S003,Female,3.0,79.5,88.6,4.0,6.6,56.4
S004,Female,3.5,60.8,85.8,4.6,3.7,53.4
S005,Female,6.4,90.4,83.8,7.2,7.8,63.8
S006,Female,8.5,80.9,91.7,7.5,5.9,70.5
S007,Male,8.0,99.3,91.3,9.2,3.7,80.1
S008,Female,2.5,67.8,80.2,8.2,5.8,46.0
S009,Male,5.8,62.2,67.7,5.6,7.5,52.6
S010,Male,7.2,92.1,86.6,5.4,1.2,74.1
S011,Female,1.6,95.7,74.0,8.3,2.5,54.7
S012,Female,2.3,57.0,84.7,7.2,6.2,47.6
S013,Female,4.3,99.9,48.3,7.0,6.3,51.8
S014,Male,6.6,89.6,65.3,4.4,3.7,66.6
S015,Female,9.7,93.0,40.7,8.3,5.8,61.5
S016,Female,7.9,67.0,57.6,4.9,1.0,63.6
S017,Female,9.7,88.1,70.5,4.6,5.4,74.2
S018,Male,2.4,88.1,72.4,8.7,4.7,47.5
S019,Female,5.4,55.6,61.8,9.9,6.6,46.5
S020,Male,8.9,97.3,45.1,6.9,1.5,68.5
S021,Male,2.2,73.8,73.0,5.6,7.1,44.1
S022,Male,9.4,87.8,81.4,8.3,3.8,79.6
S023,Female,4.9,75.9,47.3,5.3,3.4,48.3
S024,Male,6.3,50.4,82.5,4.4,1.5,57.7
S025,Female,1.6,61.9,80.1,5.3,1.9,53.9
S026,Female,3.2,73.6,64.4,4.6,5.6,44.2
S027,Female,5.2,86.5,80.4,9.9,1.7,67.0
S028,Female,8.2,55.5,51.5,7.2,2.0,54.3
S029,Female,3.2,96.2,66.6,9.2,4.9,49.7
S030,Male,9.7,96.3,90.9,5.0,4.4,79.1
S031,Female,9.1,58.2,40.1,6.3,7.5,52.0
S032,Female,4.8,97.9,99.7,7.3,6.0,66.9
S033,Female,3.0,52.9,84.1,4.4,3.2,47.1
S034,Female,5.5,92.6,49.4,9.8,1.6,54.6
S035,Male,7.1,61.8,47.2,9.3,2.7,54.9
S036,Male,4.8,79.2,71.4,9.6,2.4,62.9
S037,Male,3.4,56.5,78.7,6.7,7.5,51.7
S038,Male,5.1,99.9,99.8,4.4,2.5,72.1
S039,Female,8.9,94.0,62.2,4.9,6.8,66.7
S040,Male,7.0,77.7,95.9,4.6,7.1,66.3
S041,Male,7.7,57.8,56.9,5.3,3.4,57.9
S042,Female,5.5,62.6,94.5,4.3,5.4,65.8
S043,Male,1.0,88.6,78.2,5.6,6.2,47.9
S044,Female,6.0,55.6,96.7,8.1,2.0,64.8
S045,Female,6.2,57.4,47.6,5.8,7.3,46.2
S046,Male,9.1,60.5,55.0,4.6,6.5,59.7
S047,Female,9.8,87.5,95.5,5.4,2.1,88.3
S048,Male,8.9,51.2,84.2,6.0,7.5,67.6
S049,Male,3.4,89.4,46.5,9.2,7.0,40.1
S050,Female,4.1,91.0,92.3,5.3,5.6,62.3
S051,Female,8.8,98.3,56.7,7.8,3.8,72.9
S052,Female,9.5,55.8,98.2,5.1,7.7,69.9
